id;name;city;country;description;history;website;founded_year;content_language;translation_group;created_at;updated_at;
23;"????? ""36 ???????""";?????;????????;?????????? ????????? ????????? ????????, ???????? ? ??????????????? ? ?????????? ?????????????.;??????????? ?? ?????????? ???????????? ???????? ? ??????? �36 ???????� ? ????????? ????????? ?????, ????? ????????? ????????? ?? ??????????? ?????? ? ?????. ???????? ? ?????????? ?? ?????? ??? ???????????? ?? ??????? ? ????????????????? ?????????????, ?? ?? ???????? ????????? ?? ????, ?? ?????? ????? ??????????? ?? ??????????? ????????? ?????.;;2010;bg;;57:41.0;57:41.0;
24;??????? ?????? ??????;??????;??????? ?????????;????? ??????? ????????? ????????????, ????????? ?? ???? ?? ??????? ????????? ?? ?????????? ?? ???????????????.;????????? ?????? ?????? ? ???????? ?????????? ????? ? ???????????? ???? ??????, ????????????? ??????? ?????????? ????? ?? ??????, ???? ? ?? ???????????? ?????????. ???????? ?? ???????? ????? ??????????? ?? ???????? ?????? ????? ??????????? ? ??????? ???? ?????????? ?? ???????????? ?? ?????????????.;;1995;bg;;57:42.8;57:42.8;
25;??????? ?????? ?????????;?????????;????????;???????? ?????????? ?????? ?????? ?? ?????? ?????????? ????????? ? ??????????? ?? ?????????? ??????? ????????.;??????? ?? ????????? ?? 20 ???, ???????? ? ???????? ?????-???????? ?? ?????????, ????????????? ???????? ? ????????? ????, ? ?????? ????????? ?? ????????? ??????. ?? ???????, ??? ?? ??????? ??????? ?????????? ?? ????????? ???????????? ? ???????? ?? ??????????.;;1952;mk;;57:33.6;57:33.6;
26;??????? ??????�???? ?????�;??????;????????;Bulgaria's oldest and most prestigious theatre, serving as the national stage for dramatic arts.;Established in 1904, the Ivan Vazov National Theatre is named after Bulgaria's national poet Ivan Vazov. It has been the premier venue for Bulgarian theatre, hosting legendary performances and international collaborations. The theatre building itself is an architectural masterpiece and a symbol of Bulgarian cultural identity. Throughout its history, it has been home to the most celebrated Bulgarian actors and directors.;;1904;mk;;57:35.4;57:35.4;
27;?????????? ??????? ??????;??????;?????? ??????????;????????? ????????? ??????????? ?? ??????? ??????????, ???? ?? ??????????? ???????? ???????? ?????????? ?? ????????.;??????? ?? 1947 ?????? ???? ??????? ?????? ?? ??????? ??????????, ??? ?????? ?????? ????? ?? ???????? ? ???????????? ?? ???????????? ????????? ????????, ? ?????? ? ?? ??????????? ?? ????????????? ?????????. ???????? ? ?????? ?? ???????????? ???????? ????????? ? ????????? ????????????.;;1947;mk;;57:37.4;57:37.4;
28;??????? ?????? ?? ???;???;??????;???????? ?????? ?????? ?????? ?? ?????? ?????????? ????????? ? ??????? ???????? ?? ?????????? ????? ?? ???.;??????? ?? 1887 ??????, ????????? ?????? ?? ??? ??? ?????? ???????? ?? ????????? ????????????, ????????????? ????? ??????? ?? ????????? ?? ???????? ?? ?????????. ??? ? ??????? ???????? ??????????? ?? ?????? ? ????????, ????????? ????????? ??????? ? ??????????? ?? ?? ??????????.;;1887;mk;;57:39.1;57:39.1;
29;????? �36 ???????�;??????;????????;?????????? ????????? ????????? ???????? ?????? ?? ??????????????? ? ????????? ?????????.;?????????????? ?? ????????? ???????????? ???????? ? ??????? �36 ???????� ? ????????? ????????? ????? ???? ?? ????????? ????????? ?? ??????????? ?????? ?? ??????. ??????? ?? ?????? ????????? ??????? ??? ????????????? ???????? ? ????????????????? ?????????, ??? ?????? ????????? ?? ????????? ????? ??????????? ?? ?????????? ????????? ?????.;;2010;mk;;57:41.0;57:41.0;
30;??????? ?????? ??????;??????;??????? ??????????;????????? ??????? ????????? ??????? ???????? ?? ??????????? ?? ????????? ?? ????????? ?? ?????????.;????????? ?????? ?????? ? ???????? ????? ?? ??????????? ???? ??????, ????????????? ??????? ????????? ? ?? ??????? ? ?? ??????????? ?????????. ???????? ?? ???????? ?? ????????? ???????? ????? ?????? ???????????? ? ????????? ????? ?????? ????? ??????? ??????? ?? ???????.;;1995;mk;;57:42.8;57:42.8;
31;??????? ????????? ?????????;?????????;????????;????????? ?????????? ????????? ??????? ?? ?????? ??????????? ???????????? ? ???????????? ????????? ???????? ?????????.;???????? ???????? 20. ????, ????????? ?? ???? ???????? ????? ??????? ??????????, ?????????????? ? ???????? ? ????????? ????, ???????? ??????? ???????. ????? ????????, ??????? ?? ????? ?????????? ????????? ?????????? ? ?????????? ? ?????????.;;1952;sr;;57:33.6;57:33.6;
32;??????? ????????? �???? ?????�;??????;????????;?????????? ? ?????????????? ????????? ? ?????????, ???? ????? ??? ?????????? ????? ?? ??????? ?????????.;???????? 1904. ??????, ??????? ????????? �???? ?????� ???? ??? ????????? ??????????? ??????? ????? ??????. ?? ?? ?????? ????? ?? ???????? ?????????, ??????? ??????????? ????????? ? ???????????? ???????. ???? ?????? ????????? ?? ????????????? ?????-???? ? ?????? ????????? ????????? ??????????. ???? ????? ????????, ???? ?? ??? ???????????? ????????? ??????? ? ????????.;;1904;sr;;57:35.4;57:35.4;
33;?????????? ??????? ?????????;??????;??????? ??????????;?????? ????????? ??????????? ??????? ??????????, ???? ?????????? ?????? ???????? ??????? ???????.;???????? 1947. ?????? ??? ?????? ????????? ??????? ??????????, ?????? ?? ?????? ????? ? ??????? ? ??????? ??????????? ?????????? ?????????, ?? ??????????? ?????????? ??????????? ???????. ????????? ?? ?????? ??????????? ????????? ?????????? ? ?????????? ??????????.;;1947;sr;;57:37.4;57:37.4;
34;??????? ????????? ? ????;???;??????;????????? ?????? ????????? ??????? ?? ???? ??????????? ?????????? ? ????????? ????????? ????????? ?????? ????.;???????? 1887. ??????, ??????? ????????? ? ???? ??? ?????? ???????? ????????? ??????????, ?????????????? ????? ??????? ????????? ?? ????????? ?? ??????????. ?? ?? ??????? ???????? ??????????? ?? ???? ? ??????, ???????? ????????? ??????? ? ?????????? ?? ?? ??????????.;;1887;sr;;57:39.1;57:39.1;
35;????? �36 ???????�;??????;????????;?????????? ????????? ????????? ???????? ?????? ?? ???????????????? ? ?????????? ???????????.;???????????? ?? ????????? ???????????? ???????? ? ??????? �36 ???????� ?? ????????? ????????? ????? ???? ?????? ??????? ?????????? ????????? ? ??????. ??????? ?? ???? ?????????? ???????? ??????????? ? ???????????????? ???????????, ?????? ?? ???????? ?? ???????? ????? ??????????? ?? ???????? ????????? ?????.;;2010;sr;;57:41.0;57:41.0;
36;??????? ????????? ?????;?????;??????? ??????????;?????? ??????? ????????? ??????? ???????? ???????????? ??????? ????????? ????????.;??????? ????????? ????? ?? ???????? ?????? ? ??????????? ????? ??????, ????????? ??????? ???????? ?? ??????? ? ??????????? ??????????. ????????? ?? ???????? ?? ???????? ????????? ???? ?????? ???????? ? ??????? ???? ???? ?????? ??????? ?? ????????.;;1995;sr;;57:42.8;57:42.8;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;??????? ? ??????? ?? 20-?? ???, ???????? ? ???????? ?????????? ????? ?? ?????????, ???????????? ????? ??????????, ???? ? ?????????? ????????????, ???? ???????????? ????????? ???????? ???????. ???? ????????????? ??? ? ??????? ??????????? ?? ?? ?????????? ????????????? ? ???????????? ? ?????????.
